year, district, line_num, ginkgo, sycamore, zelkova, cherry, silver_maple, metasequoia, locust, ailanthus, persimmon, weeping_willow, tulip_poplar, horse_chestnut, poplar, elm, apricot, rose_of_sharon, pine, magnolia, retusa_fringetree, etc
2014, 공원녹지사업소,2,127,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2014, 시설관리공단,10,3257,2053,2130,2041,0,0,4033,0,0,0,0,44,0,432,20,0,0,0,2392,1079
2015, 종로구,57,5349,1342,675,444,11,32,130,18,75,7,4,18,5,0,0,87,285,0,90,199
2015, 중구,48,4009,232,430,271,0,0,256,0,0,0,9,0,0,0,22,46,2084,0,392,258
2015, 용산구,39,4538,1519,279,252,0,0,40,0,62,0,13,16,0,0,39,0,52,127,199,785
2015, 성동구,35,1137,2674,1961,386,29,49,470,33,150,0,0,1,3,61,0,0,53,0,297,320
2015, 광진구,27,1578,2544,975,554,2,0,156,0,25,0,75,64,0,0,0,0,20,113,619,423
2015, 동대문구,42,3762,3876,890,762,0,60,148,9,30,7,43,19,0,1,23,1,0,0,444,472
2015, 중랑구,50,2912,2828,341,295,57,219,1,0,52,0,0,82,0,0,0,0,6,0,167,1159
2015, 성북구,76,2751,1615,825,1645,75,65,38,5,91,0,4,0,0,0,9,5,99,0,495,634
2015, 강북구,29,3378,997,225,497,299,0,127,0,0,0,5,0,0,143,0,0,980,0,470,372
2015, 도봉구,62,4992,600,788,1945,6,61,32,0,0,1,18,0,0,0,0,234,15,0,47,741
2015, 노원구,50,6535,3505,1133,1497,0,280,41,0,1,0,0,0,0,26,58,150,32,1,132,1071
2015, 은평구,35,4244,1902,949,2064,0,17,297,7,8,0,0,16,0,0,0,29,4,0,544,1111
2015, 서대문구,29,3541,2013,546,650,0,25,84,0,4,0,10,5,4,0,0,0,0,0,338,953
2015, 마포구,90,3364,3663,3025,883,0,474,986,0,126,0,0,0,0,0,64,0,123,93,1227,348
2015, 양천구,69,5633,4021,1034,954,0,74,177,0,36,0,0,4,0,0,0,197,0,0,766,595
2015, 강서구,40,3974,584,921,1921,0,1668,213,0,0,0,0,0,0,0,0,59,282,0,493,531
